time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
1997-03-25-00; 0.4331; 3.6144
1997-03-25-01; 0.4073; 3.4125
1997-03-25-02; 0.3872; 3.2035
1997-03-25-03; 0.2929; 3.2440
1997-03-25-04; 0.1899; 3.8753
1997-03-25-05; 0.1941; 3.1320
1997-03-25-06; 0.2022; 3.5104
1997-03-25-07; 0.1768; 4.2583
1997-03-25-08; 0.1699; 10.9508
1997-03-25-09; 0.1602; 10.9930
1997-03-25-10; 0.1745; 10.7082
1997-03-25-11; 0.1699; 10.4637
1997-03-25-12; 0.1722; 6.9737
1997-03-25-13; 0.1498; 9.9893
1997-03-25-14; 0.1791; 7.5561
1997-03-25-15; 0.1745; 9.2243
1997-03-25-16; 0.1878; 7.0687
1997-03-25-17; 0.2626; 3.4138
1997-03-25-18; 0.5691; 3.1914
1997-03-25-19; 0.6912; 3.5437
1997-03-25-20; 0.8370; 3.6968
1997-03-25-21; 0.8648; 3.8247
1997-03-25-22; 1.0578; 3.9271
1997-03-25-23; 0.9501; 3.9810
1997-03-26-00; 1.0829; 4.0577
1997-03-26-01; 1.4703; 4.3708
1997-03-26-02; 1.6046; 4.7208
1997-03-26-03; 1.9190; 5.0961
1997-03-26-04; 1.9865; 5.3170
1997-03-26-05; 1.9047; 5.3815
1997-03-26-06; 1.9414; 5.7637
1997-03-26-07; 1.8661; 5.7375
1997-03-26-08; 2.1720; 6.1917
1997-03-26-09; 2.3144; 6.5123
1997-03-26-10; 2.4893; 6.6116
1997-03-26-11; 2.4519; 6.6248
1997-03-26-12; 2.3754; 6.8006
1997-03-26-13; 2.0594; 6.3890
1997-03-26-14; 2.2372; 6.7379
1997-03-26-15; 2.3703; 6.6705
1997-03-26-16; 2.2266; 6.5068
1997-03-26-17; 2.1306; 6.4273
1997-03-26-18; 2.2277; 6.6660
1997-03-26-19; 2.0148; 6.6787
1997-03-26-20; 2.0042; 6.6093
1997-03-26-21; 1.9823; 6.3662
1997-03-26-22; 1.7432; 5.9765
1997-03-26-23; 1.7622; 6.2478
1997-03-27-00; 1.6615; 6.0230
1997-03-27-01; 1.3934; 5.8186
1997-03-27-02; 1.1908; 5.5782
1997-03-27-03; 1.2250; 6.1270
1997-03-27-04; 1.1459; 6.5379
1997-03-27-05; 1.2062; 6.6722
1997-03-27-06; 1.1243; 6.4663
1997-03-27-07; 1.1653; 6.0971
1997-03-27-08; 1.1817; 6.0171
1997-03-27-09; 1.3162; 6.9901
1997-03-27-10; 1.2256; 7.7024
1997-03-27-11; 1.3262; 7.8882
1997-03-27-12; 1.2135; 6.9940
1997-03-27-13; 1.1525; 6.0908
1997-03-27-14; 1.0236; 6.0135
1997-03-27-15; 1.0337; 5.4231
1997-03-27-16; 1.0506; 4.6507
1997-03-27-17; 1.1854; 4.6513
1997-03-27-18; 1.1056; 4.4461
1997-03-27-19; 1.0267; 4.8919
1997-03-27-20; 0.9820; 5.2787
1997-03-27-21; 0.9982; 5.5798
1997-03-27-22; 1.0870; 6.5564
1997-03-27-23; 0.9759; 6.1902
1997-03-28-00; 0.9857; 6.6622
1997-03-28-01; 1.0718; 7.4532
1997-03-28-02; 0.9266; 6.6850
1997-03-28-03; 0.8949; 6.8299
1997-03-28-04; 0.8813; 6.4081
1997-03-28-05; 0.8704; 6.3421
1997-03-28-06; 0.8836; 6.3703
1997-03-28-07; 0.8413; 6.1430
1997-03-28-08; 0.8592; 6.3488
1997-03-28-09; 0.7963; 6.0955
1997-03-28-10; 0.8288; 6.6073
1997-03-28-11; 0.9179; 6.9795
1997-03-28-12; 0.9734; 7.3379
1997-03-28-13; 0.9742; 7.5174
1997-03-28-14; 1.1190; 7.7921
1997-03-28-15; 0.8886; 7.2994
1997-03-28-16; 0.8332; 7.2773
1997-03-28-17; 0.7518; 6.6117
1997-03-28-18; 0.6419; 6.4818
1997-03-28-19; 0.5912; 6.3007
1997-03-28-20; 0.6350; 6.4184
1997-03-28-21; 0.6530; 5.5242
1997-03-28-22; 0.7350; 4.7983
1997-03-28-23; 0.7597; 4.4047
1997-03-29-00; 0.8555; 4.2117
1997-03-29-01; 1.0976; 4.5654
1997-03-29-02; 1.2448; 4.7234
1997-03-29-03; 1.0643; 4.8071
1997-03-29-04; 1.0395; 4.9509
1997-03-29-05; 1.0575; 5.0730
1997-03-29-06; 0.9873; 5.1227
1997-03-29-07; 0.9218; 4.9242
1997-03-29-08; 0.9365; 4.9781
1997-03-29-09; 0.9946; 5.0588
1997-03-29-10; 1.0620; 5.0100
1997-03-29-11; 1.1639; 4.9005
1997-03-29-12; 1.2161; 5.1041
1997-03-29-13; 1.1958; 5.1947
1997-03-29-14; 1.1494; 5.2031
1997-03-29-15; 1.2095; 5.2139
1997-03-29-16; 1.3322; 5.3974
1997-03-29-17; 1.2700; 5.4932
1997-03-29-18; 1.1928; 5.2914
1997-03-29-19; 1.2158; 5.3305
1997-03-29-20; 1.3183; 5.4480
1997-03-29-22; 1.2598; 5.5675
1997-03-29-23; 1.1204; 5.3428
1997-03-30-00; 1.1367; 5.4589
1997-03-30-01; 1.0578; 5.3213
1997-03-30-03; 1.0616; 5.3290
1997-03-30-04; 0.9429; 5.2986
1997-03-30-05; 0.9771; 5.4191
1997-03-30-06; 0.9309; 5.4953
1997-03-30-07; 0.9701; 5.7036
1997-03-30-08; 0.9209; 5.5860
1997-03-30-09; 0.7948; 5.3871
1997-03-30-10; 0.7518; 5.4862
1997-03-30-11; 0.6819; 5.3998
1997-03-30-12; 0.6730; 5.5304
1997-03-30-13; 0.6456; 5.7046
1997-03-30-14; 0.6469; 5.6963
1997-03-30-15; 0.6462; 5.8183
1997-03-30-16; 0.7356; 5.6148
1997-03-30-17; 0.6998; 5.9118
1997-03-30-18; 0.7754; 6.2704
1997-03-30-19; 0.9551; 6.9674
1997-03-30-20; 0.9073; 6.0875
1997-03-30-21; 0.7983; 5.6884
1997-03-30-22; 0.9522; 6.3559
1997-03-30-23; 0.9626; 7.1905
1997-03-31-00; 1.1229; 7.4806
1997-03-31-01; 1.1332; 8.3143
1997-03-31-02; 1.3122; 8.7845
1997-03-31-03; 1.1183; 8.3849
1997-03-31-04; 1.2738; 8.6147
1997-03-31-05; 1.0495; 8.0325
1997-03-31-06; 1.0987; 7.8993
1997-03-31-07; 1.0441; 7.6971
1997-03-31-08; 0.9885; 7.5658
1997-03-31-09; 0.8962; 6.2036
1997-03-31-10; 0.9462; 5.0862
1997-03-31-11; 1.1431; 4.6500
1997-03-31-12; 1.2432; 4.6911
1997-03-31-13; 1.4467; 4.6025
1997-03-31-14; 1.5587; 4.9214
1997-03-31-15; 1.7683; 5.2745
1997-03-31-16; 1.9236; 5.2927
1997-03-31-17; 2.2623; 5.4366
1997-03-31-18; 2.1321; 5.4788
1997-03-31-19; 2.1488; 5.5227
1997-03-31-20; 2.3767; 5.5835
1997-03-31-21; 2.7005; 5.8009
1997-03-31-22; 3.0390; 5.9367
1997-03-31-23; 2.8941; 5.7982
1997-04-01-00; 3.1136; 5.9630
1997-04-01-01; 3.2545; 6.2377
1997-04-01-02; 3.9479; 6.9003
1997-04-01-03; 3.7101; 6.6539
1997-04-01-04; 4.4416; 7.1671
1997-04-01-05; 4.0666; 7.0757
1997-04-01-06; 3.9138; 6.8440
1997-04-01-07; 4.2273; 6.9144
1997-04-01-08; 4.0929; 6.8754
1997-04-01-09; 3.8384; 6.9076
1997-04-01-10; 3.7486; 6.9929
1997-04-01-11; 3.7433; 6.5189
1997-04-01-12; 3.9839; 6.5188
1997-04-01-13; 3.7007; 6.4886
1997-04-01-14; 3.4640; 6.5496
1997-04-01-15; 3.1917; 6.6696
1997-04-01-16; 3.0562; 6.7105
1997-04-01-17; 3.1063; 6.6883
1997-04-01-18; 2.7935; 6.0968
1997-04-01-19; 2.9713; 6.6099
1997-04-01-20; 2.7446; 6.9248
1997-04-01-21; 2.9896; 7.0609
1997-04-01-22; 2.5276; 6.7470
1997-04-01-23; 2.3612; 6.5027
1997-04-02-00; 2.1858; 6.5016
1997-04-02-01; 2.2342; 6.9558
1997-04-02-02; 2.1452; 6.2392
1997-04-02-03; 2.2013; 6.5211
1997-04-02-04; 2.0684; 6.6420
1997-04-02-05; 2.0803; 7.0752
1997-04-02-06; 1.8570; 6.5566
1997-04-02-07; 1.8712; 6.1521
1997-04-02-08; 1.8725; 6.0978
1997-04-02-09; 1.4882; 5.6861
1997-04-02-10; 1.3661; 5.7320
1997-04-02-11; 1.2728; 5.5239
1997-04-02-12; 1.3965; 5.9668
1997-04-02-13; 1.2005; 5.4808
1997-04-02-14; 1.2019; 5.0037
1997-04-02-15; 1.3216; 4.8786
1997-04-02-16; 1.4500; 5.0738
1997-04-02-17; 1.3543; 4.8606
1997-04-02-18; 1.2928; 4.4493
1997-04-02-19; 1.3690; 4.5064
1997-04-02-20; 1.4968; 4.4923
1997-04-02-21; 1.5526; 4.9260
1997-04-02-22; 1.5898; 4.4771
1997-04-02-23; 1.5305; 4.4858
1997-04-03-00; 1.4766; 4.5029
1997-04-03-01; 1.4717; 4.2878
1997-04-03-02; 1.2214; 4.4943
1997-04-03-03; 1.1136; 4.8348
1997-04-03-04; 1.2105; 4.3634
1997-04-03-05; 1.4384; 4.6211
1997-04-03-06; 1.3666; 5.1315
1997-04-03-07; 1.3213; 5.9004
1997-04-03-08; 1.0468; 5.6825
1997-04-03-09; 1.0777; 6.1816
1997-04-03-10; 1.0046; 6.1153
1997-04-03-11; 0.9144; 6.3764
1997-04-03-12; 0.8279; 6.6724
1997-04-03-13; 0.7285; 6.7960
1997-04-03-14; 0.7129; 7.0969
1997-04-03-15; 0.6748; 7.4555
1997-04-03-16; 0.7027; 7.5326
1997-04-03-17; 0.7151; 7.3922
1997-04-03-18; 0.6280; 7.1856
1997-04-03-19; 0.6151; 7.2234
1997-04-03-20; 0.7224; 6.2237
1997-04-03-21; 0.6877; 5.7406
1997-04-03-22; 0.5733; 4.7582
1997-04-03-23; 0.5409; 4.7764
1997-04-04-00; 0.5461; 4.8628
1997-04-04-01; 0.5143; 5.1588
1997-04-04-02; 0.5009; 5.1325
1997-04-04-03; 0.5104; 5.3358
1997-04-04-04; 0.5174; 5.4155
1997-04-04-05; 0.5598; 5.9437
1997-04-04-06; 0.4936; 5.8454
1997-04-04-07; 0.4912; 5.3974
1997-04-04-08; 0.4738; 5.6249
1997-04-04-09; 0.4044; 5.3908
1997-04-04-10; 0.4404; 5.7028
1997-04-04-11; 0.4142; 5.7983
1997-04-04-12; 0.3903; 5.6011
1997-04-04-13; 0.3777; 5.2257
1997-04-04-14; 0.3767; 5.0165
1997-04-04-15; 0.3984; 5.5170
1997-04-04-16; 0.3735; 5.7943
1997-04-04-17; 0.3559; 5.2408
1997-04-04-18; 0.3923; 5.0656
1997-04-04-19; 0.4459; 4.1045
1997-04-04-20; 0.4073; 4.2163
1997-04-04-21; 0.4368; 4.5016
1997-04-04-22; 0.5228; 3.6310
1997-04-04-23; 0.6694; 3.5784
1997-04-05-00; 0.5691; 3.5517
1997-04-05-01; 0.4322; 3.6442
1997-04-05-02; 0.3302; 4.5036
1997-04-05-03; 0.3101; 5.3389
1997-04-05-04; 0.3010; 6.4636
1997-04-05-05; 0.3178; 7.4395
1997-04-05-06; 0.3253; 7.5362
1997-04-05-07; 0.3203; 7.3730
1997-04-05-08; 0.3468; 7.9586
1997-04-05-09; 0.3253; 7.2801
1997-04-05-10; 0.3326; 7.3309
1997-04-05-11; 0.3302; 6.7379
1997-04-05-12; 0.3228; 6.2076
1997-04-05-13; 0.3277; 6.1206
1997-04-05-14; 0.3049; 5.7573
1997-04-05-15; 0.3203; 5.8544
1997-04-05-16; 0.3513; 5.4806
1997-04-05-17; 0.3777; 5.7096
1997-04-05-18; 0.3861; 5.6147
1997-04-05-19; 0.3994; 5.5275
1997-04-05-20; 0.4340; 5.3025
1997-04-05-21; 0.4218; 4.4089
1997-04-05-22; 0.4468; 4.7287
1997-04-05-23; 0.3954; 4.5561
1997-04-06-00; 0.4024; 4.7463
1997-04-06-01; 0.4044; 4.3364
1997-04-06-02; 0.4565; 4.0009
1997-04-06-03; 0.5236; 3.8402
1997-04-06-04; 0.6487; 3.7711
1997-04-06-05; 0.6331; 3.8698
1997-04-06-06; 0.7010; 4.0441
1997-04-06-07; 0.7016; 4.1141
1997-04-06-08; 0.7394; 4.1483
1997-04-06-09; 0.6906; 4.2367
1997-04-06-10; 0.7285; 4.2368
1997-04-06-12; 0.8620; 3.9904
1997-04-06-13; 0.8685; 4.0149
1997-04-06-14; 0.8836; 3.9989
1997-04-06-15; 0.8332; 4.0630
1997-04-06-16; 0.8413; 4.0043
1997-04-06-17; 0.7993; 4.1193
1997-04-06-18; 0.7938; 4.0846
1997-04-06-19; 0.8274; 4.1586
1997-04-06-20; 0.8317; 4.1252
1997-04-06-21; 0.9530; 4.2569
1997-04-06-22; 1.2204; 4.4543
1997-04-06-23; 1.2993; 4.6359
1997-04-07-00; 1.2909; 4.8050
1997-04-07-01; 1.3507; 4.6237
1997-04-07-02; 1.2570; 4.6925
1997-04-07-03; 1.2956; 5.0299
1997-04-07-04; 1.2940; 5.2365
1997-04-07-05; 1.2145; 5.2325
1997-04-07-06; 1.1830; 5.3723
1997-04-07-07; 1.3177; 5.6444
1997-04-07-08; 1.3655; 5.6555
1997-04-07-09; 1.3225; 5.4056
1997-04-07-10; 1.2399; 5.2087
1997-04-07-11; 1.3171; 5.3528
1997-04-07-12; 1.3412; 5.3875
1997-04-07-13; 1.1969; 5.2425
1997-04-07-14; 1.1332; 5.2469
1997-04-07-15; 1.1817; 5.1945
1997-04-07-16; 1.0958; 5.1856
1997-04-07-17; 0.9986; 5.0567
1997-04-07-18; 1.0208; 5.3091
1997-04-07-19; 0.9832; 5.2249
1997-04-07-20; 0.9025; 5.0342
1997-04-07-21; 0.9051; 5.1683
1997-04-07-22; 0.9139; 5.3497
1997-04-08-00; 0.8370; 5.3006
1997-04-08-01; 0.8694; 5.0540
1997-04-08-02; 0.8620; 5.1421
1997-04-08-03; 0.8754; 5.3633
1997-04-08-04; 0.7571; 4.6689
1997-04-08-05; 0.7831; 5.2722
1997-04-08-06; 0.8008; 5.5117
1997-04-08-07; 0.7851; 5.4572
1997-04-08-08; 0.7235; 5.5013
1997-04-08-09; 0.6524; 5.6715
1997-04-08-10; 0.7067; 5.9467
1997-04-08-11; 0.6906; 5.6368
1997-04-08-12; 0.7917; 4.7131
1997-04-08-13; 0.7877; 4.5208
1997-04-08-14; 0.8332; 4.4768
1997-04-08-15; 0.8611; 4.4751
1997-04-08-16; 0.8451; 4.3170
1997-04-08-17; 0.8408; 3.8630
1997-04-08-18; 0.8503; 4.0166
1997-04-08-19; 0.8667; 4.1196
1997-04-08-20; 1.0881; 3.9441
1997-04-08-21; 0.9849; 3.9297
1997-04-08-22; 1.0499; 3.7989
1997-04-08-23; 0.8230; 3.9397
1997-04-09-00; 0.7872; 4.0930
1997-04-09-01; 0.7318; 3.9531
1997-04-09-02; 0.6131; 3.8139
1997-04-09-03; 0.5017; 5.1395
1997-04-09-04; 0.5065; 4.4028
1997-04-09-05; 0.5761; 3.7945
1997-04-09-06; 0.5497; 3.7030
1997-04-09-07; 0.4284; 3.8334
1997-04-09-08; 0.3386; 4.6401
1997-04-09-09; 0.3253; 5.9260
1997-04-09-10; 0.3433; 5.4852
1997-04-09-11; 0.4004; 5.0407
1997-04-09-12; 0.4247; 4.5554
1997-04-09-13; 0.5809; 3.5866
1997-04-09-14; 0.5999; 3.7477
1997-04-09-15; 0.5905; 3.6673
1997-04-09-16; 0.6229; 3.5709
1997-04-09-17; 0.6848; 3.3300
1997-04-09-18; 0.6006; 3.2565
1997-04-09-19; 0.6229; 3.1780
1997-04-09-20; 0.6356; 3.2014
1997-04-09-21; 0.6158; 3.2746
1997-04-09-22; 0.6993; 3.3559
1997-04-09-23; 0.7038; 3.3639
1997-04-10-00; 0.7862; 3.4919
1997-04-10-01; 0.6952; 3.4390
1997-04-10-02; 0.3933; 3.2742
1997-04-10-03; 0.3745; 3.2526
1997-04-10-04; 0.3010; 3.2765
1997-04-10-05; 0.2579; 3.3371
1997-04-10-06; 0.2317; 3.2141
1997-04-10-07; 0.2701; 3.1789
1997-04-10-08; 0.2716; 3.1349
1997-04-10-09; 0.2452; 3.1169
1997-04-10-10; 0.2436; 3.4026
1997-04-10-11; 0.2317; 3.4417
1997-04-10-12; 0.2626; 3.3644
1997-04-10-13; 0.2436; 3.3247
1997-04-10-14; 0.6203; 3.1401
1997-04-10-15; 0.5823; 3.2921
1997-04-10-16; 0.4896; 3.2101
1997-04-10-17; 0.3479; 2.9934
1997-04-10-18; 0.3216; 2.9999
1997-04-10-19; 0.2774; 2.8869
1997-04-10-20; 0.2969; 2.8104
1997-04-10-21; 0.4054; 2.8657
1997-04-10-22; 0.3178; 2.9874
1997-04-10-23; 0.3513; 2.8648
1997-04-11-00; 0.3362; 2.9600
1997-04-11-01; 0.3398; 3.0472
1997-04-11-02; 0.3140; 2.9777
1997-04-11-03; 0.3203; 3.0602
1997-04-11-04; 0.3178; 3.1325
1997-04-11-05; 0.2402; 3.0920
1997-04-11-06; 0.1471; 3.4212
1997-04-11-07; 0.1234; 3.2389
1997-04-11-08; 0.1167; 6.5653
1997-04-11-09; 0.1133; 9.4703
1997-04-11-10; 0.1328; 9.9504
1997-04-11-11; 0.1813; 5.4031
1997-04-11-12; 0.1878; 4.4938
1997-04-11-13; 0.2548; 3.5388
1997-04-11-14; 0.2788; 3.7396
1997-04-11-15; 0.2484; 4.0719
1997-04-11-16; 0.2022; 4.2191
1997-04-11-17; 0.2686; 3.2744
1997-04-11-18; 0.4093; 3.1099
1997-04-11-19; 0.5205; 3.0882
1997-04-11-20; 0.5446; 3.2969
1997-04-11-21; 0.6549; 3.4110
1997-04-11-22; 0.8162; 3.6514
1997-04-11-23; 0.7800; 3.6714
1997-04-12-00; 0.7790; 3.7151
1997-04-12-01; 0.8322; 3.8843
1997-04-12-02; 0.7846; 3.8585
1997-04-12-03; 0.7629; 4.0958
1997-04-12-04; 0.6700; 4.2179
1997-04-12-05; 0.6261; 4.3655
1997-04-12-06; 0.5670; 4.4461
1997-04-12-07; 0.5236; 4.4787
1997-04-12-08; 0.5259; 4.5371
1997-04-12-09; 0.4754; 4.6419
1997-04-12-10; 0.5017; 4.8300
1997-04-12-11; 0.4838; 4.7107
1997-04-12-12; 0.5135; 4.7666
1997-04-12-13; 0.5081; 4.9363
1997-04-12-14; 0.4771; 5.1497
1997-04-12-15; 0.4199; 5.2329
1997-04-12-16; 0.2942; 5.6036
1997-04-12-17; 0.2532; 5.2253
1997-04-12-18; 0.2803; 5.5689
1997-04-12-19; 0.2369; 5.9513
1997-04-12-20; 0.2369; 5.7212
1997-04-12-21; 0.2942; 5.9043
1997-04-12-22; 0.3581; 6.1416
1997-04-12-23; 0.3581; 4.9388
1997-04-13-00; 0.4953; 3.7721
1997-04-13-01; 0.5190; 3.8702
1997-04-13-02; 0.4945; 4.0249
1997-04-13-03; 0.5104; 3.8831
1997-04-13-04; 0.5898; 3.6674
1997-04-13-05; 0.7185; 3.5574
1997-04-13-06; 0.7795; 3.5790
1997-04-13-07; 1.0046; 3.7803
1997-04-13-08; 1.1563; 4.0061
1997-04-13-09; 1.1056; 4.1737
1997-04-13-10; 1.1752; 4.1735
1997-04-13-11; 1.2775; 4.6099
1997-04-13-12; 1.1745; 4.5951
1997-04-13-13; 1.0962; 4.9162
1997-04-13-14; 1.1114; 5.0887
1997-04-13-15; 1.1056; 5.4615
1997-04-13-16; 1.0200; 5.4765
1997-04-13-17; 1.1027; 5.6348
1997-04-13-18; 1.0759; 5.6880
1997-04-13-19; 1.1807; 5.8578
1997-04-13-20; 1.0376; 5.7210
1997-04-13-21; 1.1042; 5.5825
1997-04-13-22; 1.0483; 5.6495
1997-04-13-23; 1.1064; 5.7996
1997-04-14-00; 1.0321; 5.7481
1997-04-14-01; 0.9746; 5.7234
1997-04-14-02; 0.9496; 5.8454
1997-04-14-03; 1.0899; 6.1948
1997-04-14-04; 1.2781; 7.1933
1997-04-14-05; 1.4602; 7.9031
1997-04-14-06; 1.6294; 8.1337
1997-04-14-07; 1.6412; 8.2765
1997-04-14-08; 1.5184; 8.1510
1997-04-14-09; 1.5186; 8.1730
1997-04-14-10; 1.6056; 8.5903
1997-04-14-11; 1.6277; 8.9764
1997-04-14-12; 1.5893; 7.0682
1997-04-14-13; 1.6555; 6.9505
1997-04-14-14; 1.7792; 6.2083
1997-04-14-15; 1.7481; 6.0486
1997-04-14-16; 1.7201; 6.1059
1997-04-14-17; 1.5067; 5.8495
1997-04-14-18; 1.5014; 6.5886
1997-04-14-19; 1.1830; 5.8582
1997-04-14-20; 1.2348; 5.9458
1997-04-14-21; 1.1625; 6.3646
1997-04-14-22; 1.1587; 5.6604
1997-04-14-23; 1.1969; 5.7155
1997-04-15-00; 1.1275; 5.5192
1997-04-15-01; 1.0829; 6.5039
1997-04-15-02; 0.9450; 6.9206
1997-04-15-03; 1.0433; 5.8930
1997-04-15-04; 0.8602; 6.7761
1997-04-15-05; 0.8083; 8.1709
1997-04-15-06; 0.8298; 9.4692
1997-04-15-07; 0.6754; 9.4797
1997-04-15-08; 0.6177; 8.3032
1997-04-15-09; 0.5167; 8.7528
1997-04-15-10; 0.5312; 9.6939
1997-04-15-11; 0.5151; 8.3307
1997-04-15-12; 0.5490; 8.2654
1997-04-15-13; 0.5490; 8.7916
1997-04-15-14; 0.6125; 9.5558
1997-04-15-15; 0.6628; 9.1323
1997-04-15-16; 0.6086; 9.3317
1997-04-15-17; 0.5228; 8.5137
1997-04-15-18; 0.6616; 6.2294
1997-04-15-19; 0.6706; 4.7099
1997-04-15-20; 0.6164; 4.3462
1997-04-15-21; 0.5837; 3.7313
1997-04-15-22; 0.5932; 3.7468
1997-04-15-23; 0.5719; 3.7478
1997-04-16-00; 0.5670; 4.1456
1997-04-16-01; 0.5190; 4.3068
1997-04-16-02; 0.4830; 4.7247
1997-04-16-03; 0.4644; 4.5731
1997-04-16-04; 0.4846; 4.9355
1997-04-16-05; 0.4459; 5.0070
1997-04-16-06; 0.4754; 5.2517
1997-04-16-07; 0.4377; 4.7979
1997-04-16-08; 0.4161; 4.9435
1997-04-16-09; 0.4034; 4.8944
1997-04-16-10; 0.3456; 4.4023
1997-04-16-11; 0.3409; 4.4713
1997-04-16-12; 0.3216; 4.6108
1997-04-16-13; 0.3290; 4.3310
1997-04-16-14; 0.3277; 4.7431
1997-04-16-15; 0.3178; 4.7899
1997-04-16-16; 0.3491; 5.0863
1997-04-16-17; 0.3615; 4.1800
1997-04-16-18; 0.3954; 4.3935
1997-04-16-19; 0.4377; 3.9065
1997-04-16-20; 0.3702; 3.6112
1997-04-16-21; 0.5182; 3.6113
1997-04-16-22; 0.4936; 3.6644
1997-04-16-23; 0.6506; 3.6797
1997-04-17-00; 0.7044; 3.8469
1997-04-17-01; 0.6993; 3.9824
1997-04-17-02; 0.6293; 3.9916
1997-04-17-03; 0.6789; 4.1596
1997-04-17-04; 0.7027; 4.1717
1997-04-17-05; 0.5946; 4.0692
1997-04-17-06; 0.5490; 4.0161
1997-04-17-07; 0.5775; 4.0422
1997-04-17-08; 0.5698; 4.2561
1997-04-17-09; 0.5244; 4.1536
1997-04-17-10; 0.4879; 4.0096
1997-04-17-11; 0.4661; 4.0740
1997-04-17-12; 0.4813; 4.1012
1997-04-17-13; 0.4073; 4.0255
1997-04-17-14; 0.4209; 4.0711
1997-04-17-15; 0.4468; 3.9548
1997-04-17-16; 0.3974; 4.0664
1997-04-17-17; 0.4548; 3.9990
1997-04-17-18; 0.4548; 4.0101
1997-04-17-19; 0.5266; 3.9731
1997-04-17-20; 0.5112; 4.0150
1997-04-17-21; 0.5081; 3.9719
1997-04-17-22; 0.4432; 3.9795
1997-04-17-23; 0.4132; 3.9519
1997-04-18-00; 0.4113; 3.9894
1997-04-18-01; 0.3648; 4.0060
1997-04-18-02; 0.3745; 4.0755
1997-04-18-03; 0.3809; 4.0356
1997-04-18-04; 0.3933; 3.9611
1997-04-18-05; 0.4034; 4.0490
1997-04-18-06; 0.3398; 4.0388
1997-04-18-07; 0.3615; 3.9394
1997-04-18-08; 0.4093; 3.4731
1997-04-18-09; 0.5259; 3.3108
1997-04-18-10; 0.6203; 3.2983
1997-04-18-11; 0.5885; 3.3523
1997-04-18-12; 0.6877; 3.3379
1997-04-18-13; 0.9174; 3.6055
1997-04-18-14; 0.9505; 3.7493
1997-04-18-15; 1.2276; 4.0330
1997-04-18-16; 1.5731; 4.3293
1997-04-18-17; 2.0608; 4.6518
1997-04-18-18; 2.4668; 5.1402
1997-04-18-19; 2.7889; 5.3883
1997-04-18-20; 3.2611; 5.5788
1997-04-18-21; 3.0900; 5.6689
1997-04-18-22; 3.0045; 5.8547
1997-04-18-23; 2.8775; 5.7733
1997-04-19-00; 3.0043; 6.0303
1997-04-19-01; 3.0585; 6.0317
1997-04-19-02; 3.1752; 6.2845
1997-04-19-03; 3.9293; 6.5874
1997-04-19-04; 3.6779; 6.8192
1997-04-19-05; 4.1504; 7.3827
1997-04-19-06; 3.8684; 7.2497
1997-04-19-07; 3.5750; 6.9352
1997-04-19-08; 3.6273; 7.0631
1997-04-19-09; 3.3532; 6.7344
1997-04-19-10; 3.2448; 6.2701
1997-04-19-11; 3.2483; 6.3579
1997-04-19-12; 3.4218; 6.3836
1997-04-19-13; 3.3536; 6.2380
1997-04-19-14; 3.5253; 6.5555
1997-04-19-15; 3.4070; 6.7838
1997-04-19-16; 3.2660; 6.8008
1997-04-19-17; 3.5223; 7.4640
1997-04-19-18; 3.0403; 7.3312
1997-04-19-19; 2.9924; 7.7930
1997-04-19-20; 3.0105; 8.1543
1997-04-19-21; 2.7588; 7.9745
1997-04-19-22; 2.8141; 7.9047
1997-04-19-23; 2.5039; 7.7525
1997-04-20-00; 2.2338; 7.6215
1997-04-20-01; 2.2344; 7.9217
1997-04-20-02; 2.3116; 8.4120
1997-04-20-03; 2.0426; 7.9418
1997-04-20-04; 2.1777; 8.5518
1997-04-20-05; 2.2551; 8.6875
1997-04-20-06; 2.4968; 9.2723
1997-04-20-07; 2.3318; 9.3110
1997-04-20-08; 2.8233; 9.6355
1997-04-20-09; 2.4983; 9.3153
1997-04-20-10; 2.4452; 9.4712
1997-04-20-11; 2.1872; 9.0793
1997-04-20-12; 1.9134; 8.6842
1997-04-20-13; 1.5817; 8.4026
1997-04-20-14; 1.6874; 8.9120
1997-04-20-15; 1.4774; 8.6094
1997-04-20-16; 1.3561; 8.7609
1997-04-20-17; 1.4420; 9.0087
1997-04-20-18; 1.2451; 9.3525
1997-04-20-19; 1.3097; 9.3855
1997-04-20-20; 1.3352; 9.6281
1997-04-20-21; 1.4105; 9.3602
1997-04-20-22; 1.4306; 9.4578
1997-04-20-23; 1.3058; 9.1771
1997-04-21-00; 0.9877; 8.2891
1997-04-21-01; 1.0173; 8.4163
1997-04-21-02; 0.9580; 8.3200
1997-04-21-03; 0.9555; 8.3972
1997-04-21-04; 0.9709; 8.5449
1997-04-21-05; 1.0137; 8.9273
1997-04-21-06; 0.9962; 8.7421
1997-04-21-07; 0.9253; 8.9224
1997-04-21-08; 0.8503; 8.6862
1997-04-21-09; 0.9865; 8.8394
1997-04-21-10; 0.8949; 8.2184
1997-04-21-11; 0.8191; 8.2136
1997-04-21-12; 0.7151; 8.0400
1997-04-21-13; 0.7285; 7.9711
1997-04-21-14; 0.7469; 7.8412
1997-04-21-15; 0.5871; 7.0349
1997-04-21-16; 0.6469; 7.2062
1997-04-21-17; 0.5802; 7.5065
1997-04-21-18; 0.6203; 8.5313
1997-04-21-19; 0.5816; 8.1714
